Customer ID,last_purchase,Frequency,Monetary,Recency,R_Score,F_Score,M_Score,RFM_Total,RFM_Code,Segment
12346.0,2011-01-18 10:01:00,12,77556.46,325,2,5,5,12,255,Loyal Customers
12347.0,2011-12-07 15:52:00,8,5633.32,2,5,4,5,14,545,Champions
12348.0,2011-09-25 13:13:00,5,2019.4,75,3,4,4,11,344,Loyal Customers
12349.0,2011-11-21 09:51:00,4,4428.69,18,5,3,5,13,535,Champions
12350.0,2011-02-02 16:01:00,1,334.4,310,2,1,2,5,212,Need Attention
12351.0,2010-11-29 15:23:00,1,300.93,375,2,1,2,5,212,Need Attention
12352.0,2011-11-03 14:37:00,10,2849.84,36,4,5,4,13,454,Champions
12353.0,2011-05-19 17:47:00,2,406.76,204,2,2,2,6,222,Need Attention
12354.0,2011-04-21 13:11:00,1,1079.4,232,2,1,3,6,213,Need Attention
12355.0,2011-05-09 13:49:00,2,947.61,214,2,2,3,7,223,Need Attention
12356.0,2011-11-17 08:40:00,6,6373.68,22,4,4,5,13,445,Champions
12357.0,2011-11-06 16:07:00,3,18287.66,33,4,3,5,12,435,Loyal Customers
12358.0,2011-12-08 10:26:00,5,3887.07,1,5,4,5,14,545,Champions
12359.0,2011-10-13 12:47:00,10,8935.94,57,4,5,5,14,455,Champions
12360.0,2011-10-18 15:22:00,8,4252.89,52,4,4,5,13,445,Champions
12361.0,2011-02-25 13:51:00,4,511.25,287,2,3,2,7,232,At Risk
12362.0,2011-12-06 15:40:00,11,5356.23,3,5,5,5,15,555,Champions
12363.0,2011-08-22 10:18:00,2,552.0,109,3,2,2,7,322,Potential Loyalists
12364.0,2011-12-02 10:22:00,4,1313.1,7,5,3,4,12,534,Loyal Customers
12365.0,2011-02-21 14:04:00,2,641.38,291,2,2,3,7,223,Need Attention
12366.0,2010-03-16 10:28:00,1,500.24,633,1,1,2,4,112,Lost
12367.0,2011-12-05 16:48:00,1,168.9,4,5,1,1,7,511,Potential Loyalists
12368.0,2010-03-21 15:56:00,1,917.7,628,1,1,3,5,113,Need Attention
12369.0,2010-10-22 13:13:00,3,1791.15,413,1,3,4,8,134,At Risk
12370.0,2011-10-19 14:51:00,7,4320.31,51,4,4,5,13,445,Champions
12371.0,2011-10-26 10:16:00,5,4067.38,44,4,4,5,13,445,Champions
12372.0,2011-09-29 12:12:00,3,1298.04,71,3,3,4,10,334,Loyal Customers
12373.0,2011-02-01 13:10:00,3,1127.65,311,2,3,3,8,233,At Risk
12374.0,2011-11-14 15:37:00,4,2989.22,25,4,3,5,12,435,Loyal Customers
12375.0,2011-11-29 10:36:00,2,457.5,10,5,2,2,9,522,Potential Loyalists
12376.0,2010-11-15 12:15:00,2,503.15,389,2,2,2,6,222,Need Attention
12377.0,2011-01-28 15:45:00,4,3426.32,315,2,3,5,10,235,Loyal Customers
12378.0,2011-08-02 10:34:00,2,5416.32,129,3,2,5,10,325,Loyal Customers
12379.0,2011-09-19 10:09:00,4,1620.22,81,3,3,4,10,334,Loyal Customers
12380.0,2011-11-18 11:27:00,11,9676.3,21,4,5,5,14,455,Champions
12381.0,2011-12-05 12:44:00,5,1845.31,4,5,4,4,13,544,Champions
12383.0,2011-06-08 08:02:00,5,1850.56,184,3,4,4,11,344,Loyal Customers
12384.0,2011-11-11 08:39:00,2,585.27,28,4,2,2,8,422,Potential Loyalists
12385.0,2010-11-25 15:14:00,1,1938.4,379,2,1,4,7,214,Need Attention
12386.0,2011-01-06 12:37:00,2,660.8,337,2,2,3,7,223,Need Attention
12387.0,2010-10-20 16:27:00,1,143.94,415,1,1,1,3,111,Lost
12388.0,2011-11-24 12:30:00,8,3901.11,15,5,4,5,14,545,Champions
12389.0,2010-11-02 11:52:00,3,1433.33,402,2,3,4,9,234,At Risk
12390.0,2011-09-21 09:33:00,1,549.84,79,3,1,2,6,312,Need Attention
12391.0,2011-11-18 12:07:00,6,2773.42,21,4,4,4,12,444,Loyal Customers
12392.0,2010-04-27 14:04:00,1,234.75,591,1,1,1,3,111,Lost
12393.0,2011-09-28 15:41:00,6,2399.45,72,3,4,4,11,344,Loyal Customers
12394.0,2011-10-07 08:08:00,2,1272.48,63,3,2,4,9,324,Potential Loyalists
12395.0,2011-11-20 15:21:00,15,5067.27,19,5,5,5,15,555,Champions
12396.0,2010-02-03 13:22:00,1,931.43,674,1,1,3,5,113,Need Attention
12397.0,2011-11-04 09:52:00,2,2409.9,35,4,2,4,10,424,Loyal Customers
12398.0,2011-10-25 10:27:00,1,1635.66,45,4,1,4,9,414,Potential Loyalists
12399.0,2011-08-12 13:15:00,7,1962.3,119,3,4,4,11,344,Loyal Customers
12400.0,2010-10-21 13:45:00,1,205.25,414,1,1,1,3,111,Lost
12401.0,2011-02-09 13:50:00,1,84.3,303,2,1,1,4,211,Lost
